,fun,is_original,log10_dt,n,name,times
0,<function <lambda> at 0x7fb61cc5f848>,True,-2.142171e+00,1280,hfd,100
1,<function <lambda> at 0x7fb61cc5f8c0>,False,-2.858462e+00,1280,hfd,100
2,<function <lambda> at 0x7fb61cc5f938>,True,-2.515172e+00,1280,hjorth,100
3,<function <lambda> at 0x7fb61cc5f9b0>,False,-4.086556e+00,1280,hjorth,100
4,<function <lambda> at 0x7fb61cc5fa28>,True,-2.787067e+00,1280,pfd,100
5,<function <lambda> at 0x7fb61cc5faa0>,False,-2.756674e+00,1280,pfd,100
6,<function <lambda> at 0x7fb61cc5fb18>,True,4.425433e-01,1280,samp_ent,1
7,<function <lambda> at 0x7fb61cc5fb90>,False,-1.090820e+00,1280,samp_ent,10
8,<function <lambda> at 0x7fb61cc5fc08>,True,4.933733e-01,1280,ap_ent,1
9,<function <lambda> at 0x7fb61cc5fc80>,False,-8.797825e-01,1280,ap_ent,10
10,<function <lambda> at 0x7fb61cc5fcf8>,True,-2.732753e+00,1280,svd_ent,10
11,<function <lambda> at 0x7fb61cc5fd70>,False,-4.093127e+00,1280,svd_ent,100
12,<function <lambda> at 0x7fb61cc5fde8>,True,-2.735420e+00,1280,fisher_info,10
13,<function <lambda> at 0x7fb61cc5fe60>,False,-4.062981e+00,1280,fisher_info,100
14,<function <lambda> at 0x7fb61cc5fed8>,True,-3.667439e+00,1280,spectral_entropy,100
15,<function <lambda> at 0x7fb61cc5ff50>,False,-3.708163e+00,1280,spectral_entropy,100
0,<function <lambda> at 0x7fb61cc5f848>,True,-1.856120e+00,2560,hfd,100
1,<function <lambda> at 0x7fb61cc5f8c0>,False,-2.824280e+00,2560,hfd,100
2,<function <lambda> at 0x7fb61cc5f938>,True,-2.209703e+00,2560,hjorth,100
3,<function <lambda> at 0x7fb61cc5f9b0>,False,-4.038713e+00,2560,hjorth,100
4,<function <lambda> at 0x7fb61cc5fa28>,True,-2.502475e+00,2560,pfd,100
5,<function <lambda> at 0x7fb61cc5faa0>,False,-2.502132e+00,2560,pfd,100
6,<function <lambda> at 0x7fb61cc5fb18>,True,1.053943e+00,2560,samp_ent,1
7,<function <lambda> at 0x7fb61cc5fb90>,False,-6.511482e-01,2560,samp_ent,10
8,<function <lambda> at 0x7fb61cc5fc08>,True,1.107271e+00,2560,ap_ent,1
9,<function <lambda> at 0x7fb61cc5fc80>,False,-2.623665e-01,2560,ap_ent,10
10,<function <lambda> at 0x7fb61cc5fcf8>,True,-2.422058e+00,2560,svd_ent,10
11,<function <lambda> at 0x7fb61cc5fd70>,False,-3.909035e+00,2560,svd_ent,100
12,<function <lambda> at 0x7fb61cc5fde8>,True,-2.423821e+00,2560,fisher_info,10
13,<function <lambda> at 0x7fb61cc5fe60>,False,-3.883001e+00,2560,fisher_info,100
14,<function <lambda> at 0x7fb61cc5fed8>,True,-3.473789e+00,2560,spectral_entropy,100
15,<function <lambda> at 0x7fb61cc5ff50>,False,-3.620040e+00,2560,spectral_entropy,100
0,<function <lambda> at 0x7fb61cc5f848>,True,-1.692618e+00,3840,hfd,100
1,<function <lambda> at 0x7fb61cc5f8c0>,False,-2.781661e+00,3840,hfd,100
2,<function <lambda> at 0x7fb61cc5f938>,True,-2.042488e+00,3840,hjorth,100
3,<function <lambda> at 0x7fb61cc5f9b0>,False,-3.971877e+00,3840,hjorth,100
4,<function <lambda> at 0x7fb61cc5fa28>,True,-2.327990e+00,3840,pfd,100
5,<function <lambda> at 0x7fb61cc5faa0>,False,-2.328835e+00,3840,pfd,100
6,<function <lambda> at 0x7fb61cc5fb18>,True,1.405349e+00,3840,samp_ent,1
7,<function <lambda> at 0x7fb61cc5fb90>,False,-3.624798e-01,3840,samp_ent,10
8,<function <lambda> at 0x7fb61cc5fc08>,True,1.459556e+00,3840,ap_ent,1
9,<function <lambda> at 0x7fb61cc5fc80>,False,8.101311e-02,3840,ap_ent,10
10,<function <lambda> at 0x7fb61cc5fcf8>,True,-2.250525e+00,3840,svd_ent,10
11,<function <lambda> at 0x7fb61cc5fd70>,False,-3.783201e+00,3840,svd_ent,100
12,<function <lambda> at 0x7fb61cc5fde8>,True,-2.250992e+00,3840,fisher_info,10
13,<function <lambda> at 0x7fb61cc5fe60>,False,-3.764020e+00,3840,fisher_info,100
14,<function <lambda> at 0x7fb61cc5fed8>,True,-3.342227e+00,3840,spectral_entropy,100
15,<function <lambda> at 0x7fb61cc5ff50>,False,-3.558460e+00,3840,spectral_entropy,100
