,fun,is_original,log10_dt,n,name,times
0,<function <lambda> at 0x7fb2aef4e848>,True,-2.179662e+00,1280,hfd,100
1,<function <lambda> at 0x7fb2aef4e8c0>,False,-2.907198e+00,1280,hfd,100
2,<function <lambda> at 0x7fb2aef4e938>,True,-2.532352e+00,1280,hjorth,100
3,<function <lambda> at 0x7fb2aef4e9b0>,False,-4.098978e+00,1280,hjorth,100
4,<function <lambda> at 0x7fb2aef4ea28>,True,-2.821284e+00,1280,pfd,100
5,<function <lambda> at 0x7fb2aef4eaa0>,False,-2.828449e+00,1280,pfd,100
6,<function <lambda> at 0x7fb2aef4eb18>,True,4.055261e-01,1280,samp_ent,2
7,<function <lambda> at 0x7fb2aef4eb90>,False,-1.104926e+00,1280,samp_ent,10
8,<function <lambda> at 0x7fb2aef4ec08>,True,4.925896e-01,1280,ap_ent,2
9,<function <lambda> at 0x7fb2aef4ec80>,False,-8.708830e-01,1280,ap_ent,10
10,<function <lambda> at 0x7fb2aef4ecf8>,True,-2.745836e+00,1280,svd_ent,10
11,<function <lambda> at 0x7fb2aef4ed70>,False,-4.117931e+00,1280,svd_ent,100
12,<function <lambda> at 0x7fb2aef4ede8>,True,-2.747465e+00,1280,fisher_info,10
13,<function <lambda> at 0x7fb2aef4ee60>,False,-4.079673e+00,1280,fisher_info,100
14,<function <lambda> at 0x7fb2aef4eed8>,True,-3.677635e+00,1280,spectral_entropy,100
15,<function <lambda> at 0x7fb2aef4ef50>,False,-3.727414e+00,1280,spectral_entropy,100
0,<function <lambda> at 0x7fb2aef4e848>,True,-1.891545e+00,2560,hfd,100
1,<function <lambda> at 0x7fb2aef4e8c0>,False,-2.856030e+00,2560,hfd,100
2,<function <lambda> at 0x7fb2aef4e938>,True,-2.245754e+00,2560,hjorth,100
3,<function <lambda> at 0x7fb2aef4e9b0>,False,-4.065093e+00,2560,hjorth,100
4,<function <lambda> at 0x7fb2aef4ea28>,True,-2.529622e+00,2560,pfd,100
5,<function <lambda> at 0x7fb2aef4eaa0>,False,-2.530368e+00,2560,pfd,100
6,<function <lambda> at 0x7fb2aef4eb18>,True,1.006955e+00,2560,samp_ent,2
7,<function <lambda> at 0x7fb2aef4eb90>,False,-6.713273e-01,2560,samp_ent,10
8,<function <lambda> at 0x7fb2aef4ec08>,True,1.083457e+00,2560,ap_ent,2
9,<function <lambda> at 0x7fb2aef4ec80>,False,-2.581518e-01,2560,ap_ent,10
10,<function <lambda> at 0x7fb2aef4ecf8>,True,-2.436769e+00,2560,svd_ent,10
11,<function <lambda> at 0x7fb2aef4ed70>,False,-3.922597e+00,2560,svd_ent,100
12,<function <lambda> at 0x7fb2aef4ede8>,True,-2.448830e+00,2560,fisher_info,10
13,<function <lambda> at 0x7fb2aef4ee60>,False,-3.901773e+00,2560,fisher_info,100
14,<function <lambda> at 0x7fb2aef4eed8>,True,-3.491266e+00,2560,spectral_entropy,100
15,<function <lambda> at 0x7fb2aef4ef50>,False,-3.642597e+00,2560,spectral_entropy,100
0,<function <lambda> at 0x7fb2aef4e848>,True,-1.719628e+00,3840,hfd,100
1,<function <lambda> at 0x7fb2aef4e8c0>,False,-2.798609e+00,3840,hfd,100
2,<function <lambda> at 0x7fb2aef4e938>,True,-2.063658e+00,3840,hjorth,100
3,<function <lambda> at 0x7fb2aef4e9b0>,False,-4.008016e+00,3840,hjorth,100
4,<function <lambda> at 0x7fb2aef4ea28>,True,-2.340598e+00,3840,pfd,100
5,<function <lambda> at 0x7fb2aef4eaa0>,False,-2.350403e+00,3840,pfd,100
6,<function <lambda> at 0x7fb2aef4eb18>,True,1.370557e+00,3840,samp_ent,2
7,<function <lambda> at 0x7fb2aef4eb90>,False,-3.931871e-01,3840,samp_ent,10
8,<function <lambda> at 0x7fb2aef4ec08>,True,1.447346e+00,3840,ap_ent,2
9,<function <lambda> at 0x7fb2aef4ec80>,False,2.030795e-01,3840,ap_ent,10
10,<function <lambda> at 0x7fb2aef4ecf8>,True,-2.268807e+00,3840,svd_ent,10
11,<function <lambda> at 0x7fb2aef4ed70>,False,-3.795336e+00,3840,svd_ent,100
12,<function <lambda> at 0x7fb2aef4ede8>,True,-2.268131e+00,3840,fisher_info,10
13,<function <lambda> at 0x7fb2aef4ee60>,False,-3.784605e+00,3840,fisher_info,100
14,<function <lambda> at 0x7fb2aef4eed8>,True,-3.356292e+00,3840,spectral_entropy,100
15,<function <lambda> at 0x7fb2aef4ef50>,False,-3.578591e+00,3840,spectral_entropy,100
0,<function <lambda> at 0x7fb2aef4e848>,True,-1.591688e+00,5120,hfd,100
1,<function <lambda> at 0x7fb2aef4e8c0>,False,-2.753758e+00,5120,hfd,100
2,<function <lambda> at 0x7fb2aef4e938>,True,-1.933286e+00,5120,hjorth,100
3,<function <lambda> at 0x7fb2aef4e9b0>,False,-3.966610e+00,5120,hjorth,100
4,<function <lambda> at 0x7fb2aef4ea28>,True,-2.221327e+00,5120,pfd,100
5,<function <lambda> at 0x7fb2aef4eaa0>,False,-2.224034e+00,5120,pfd,100
6,<function <lambda> at 0x7fb2aef4eb18>,True,1.617107e+00,5120,samp_ent,2
7,<function <lambda> at 0x7fb2aef4eb90>,False,-1.914054e-01,5120,samp_ent,10
8,<function <lambda> at 0x7fb2aef4ec08>,True,1.694827e+00,5120,ap_ent,2
9,<function <lambda> at 0x7fb2aef4ec80>,False,4.805418e-01,5120,ap_ent,10
10,<function <lambda> at 0x7fb2aef4ecf8>,True,-2.146028e+00,5120,svd_ent,10
11,<function <lambda> at 0x7fb2aef4ed70>,False,-3.704855e+00,5120,svd_ent,100
12,<function <lambda> at 0x7fb2aef4ede8>,True,-2.147045e+00,5120,fisher_info,10
13,<function <lambda> at 0x7fb2aef4ee60>,False,-3.687168e+00,5120,fisher_info,100
14,<function <lambda> at 0x7fb2aef4eed8>,True,-3.253203e+00,5120,spectral_entropy,100
15,<function <lambda> at 0x7fb2aef4ef50>,False,-3.525958e+00,5120,spectral_entropy,100
0,<function <lambda> at 0x7fb2aef4e848>,True,-1.500809e+00,6400,hfd,100
1,<function <lambda> at 0x7fb2aef4e8c0>,False,-2.725935e+00,6400,hfd,100
2,<function <lambda> at 0x7fb2aef4e938>,True,-1.847148e+00,6400,hjorth,100
3,<function <lambda> at 0x7fb2aef4e9b0>,False,-3.937949e+00,6400,hjorth,100
4,<function <lambda> at 0x7fb2aef4ea28>,True,-2.128504e+00,6400,pfd,100
5,<function <lambda> at 0x7fb2aef4eaa0>,False,-2.129049e+00,6400,pfd,100
6,<function <lambda> at 0x7fb2aef4eb18>,True,1.816080e+00,6400,samp_ent,2
7,<function <lambda> at 0x7fb2aef4eb90>,False,-2.604044e-02,6400,samp_ent,10
8,<function <lambda> at 0x7fb2aef4ec08>,True,1.894663e+00,6400,ap_ent,2
9,<function <lambda> at 0x7fb2aef4ec80>,False,6.966192e-01,6400,ap_ent,10
10,<function <lambda> at 0x7fb2aef4ecf8>,True,-2.051866e+00,6400,svd_ent,10
11,<function <lambda> at 0x7fb2aef4ed70>,False,-3.626556e+00,6400,svd_ent,100
12,<function <lambda> at 0x7fb2aef4ede8>,True,-2.050928e+00,6400,fisher_info,10
13,<function <lambda> at 0x7fb2aef4ee60>,False,-3.612343e+00,6400,fisher_info,100
14,<function <lambda> at 0x7fb2aef4eed8>,True,-3.180674e+00,6400,spectral_entropy,100
15,<function <lambda> at 0x7fb2aef4ef50>,False,-3.473660e+00,6400,spectral_entropy,100
0,<function <lambda> at 0x7fb2aef4e848>,True,-1.424161e+00,7680,hfd,100
1,<function <lambda> at 0x7fb2aef4e8c0>,False,-2.692298e+00,7680,hfd,100
2,<function <lambda> at 0x7fb2aef4e938>,True,-1.771154e+00,7680,hjorth,100
3,<function <lambda> at 0x7fb2aef4e9b0>,False,-3.926242e+00,7680,hjorth,100
4,<function <lambda> at 0x7fb2aef4ea28>,True,-2.054573e+00,7680,pfd,100
5,<function <lambda> at 0x7fb2aef4eaa0>,False,-2.054122e+00,7680,pfd,100
6,<function <lambda> at 0x7fb2aef4eb18>,True,1.967203e+00,7680,samp_ent,2
7,<function <lambda> at 0x7fb2aef4eb90>,False,1.088289e-01,7680,samp_ent,10
8,<function <lambda> at 0x7fb2aef4ec08>,True,2.049586e+00,7680,ap_ent,2
9,<function <lambda> at 0x7fb2aef4ec80>,False,8.966608e-01,7680,ap_ent,10
10,<function <lambda> at 0x7fb2aef4ecf8>,True,-1.965917e+00,7680,svd_ent,10
11,<function <lambda> at 0x7fb2aef4ed70>,False,-3.549077e+00,7680,svd_ent,100
12,<function <lambda> at 0x7fb2aef4ede8>,True,-1.966882e+00,7680,fisher_info,10
13,<function <lambda> at 0x7fb2aef4ee60>,False,-3.539043e+00,7680,fisher_info,100
14,<function <lambda> at 0x7fb2aef4eed8>,True,-3.096644e+00,7680,spectral_entropy,100
15,<function <lambda> at 0x7fb2aef4ef50>,False,-3.418697e+00,7680,spectral_entropy,100
0,<function <lambda> at 0x7fb2aef4e848>,True,-2.172560e+00,1280,hfd,100
1,<function <lambda> at 0x7fb2aef4e8c0>,False,-2.911042e+00,1280,hfd,100
2,<function <lambda> at 0x7fb2aef4e938>,True,-2.538811e+00,1280,hjorth,100
3,<function <lambda> at 0x7fb2aef4e9b0>,False,-4.080918e+00,1280,hjorth,100
4,<function <lambda> at 0x7fb2aef4ea28>,True,-2.822911e+00,1280,pfd,100
5,<function <lambda> at 0x7fb2aef4eaa0>,False,-2.825754e+00,1280,pfd,100
6,<function <lambda> at 0x7fb2aef4eb18>,True,4.199605e-01,1280,samp_ent,2
7,<function <lambda> at 0x7fb2aef4eb90>,False,-1.094684e+00,1280,samp_ent,10
8,<function <lambda> at 0x7fb2aef4ec08>,True,4.988542e-01,1280,ap_ent,2
9,<function <lambda> at 0x7fb2aef4ec80>,False,-8.913133e-01,1280,ap_ent,10
10,<function <lambda> at 0x7fb2aef4ecf8>,True,-2.738380e+00,1280,svd_ent,10
11,<function <lambda> at 0x7fb2aef4ed70>,False,-4.109069e+00,1280,svd_ent,100
12,<function <lambda> at 0x7fb2aef4ede8>,True,-2.727094e+00,1280,fisher_info,10
